Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus,REGION: Prevalence (All),REGION: N (All),REGION: Weighted N (All),REGION: Prevalence (Most important driver/barrier),REGION: Statements,REGION Focus
Ce sujet n'est pas important pour moi/ Xóta elɔ ɖò taji nú mì ǎ,"future_user: 2.04% 
 nonuser: 11.26% 
 past_user: 3.12% 
 user: 2.34%","future_user: 2 
 nonuser: 34 
 past_user: 4 
 user: 7","future_user: 1.1 
 nonuser: 31.0 
 past_user: 0.4 
 user: 4.0","future_user: 2.04% 
 nonuser: 8.28% 
 past_user: 3.12% 
 user: 0.0%","L'utilisation de la contraception n'est pas importante pour moi ou ma famille. 
 future_user: 41.79% 
 nonuser: 84.35% 
 past_user: 40.57% 
 user: 20.72%

",Very high,barrier,"16-20: 6.9% 
 21-30: 6.06% 
 31-45: 5.34%","16-20: 2 
 21-30: 20 
 31-45: 25","16-20: 0.0 
 21-30: 21.4 
 31-45: 15.0","16-20: 6.9% 
 21-30: 3.03% 
 31-45: 4.06%","L'utilisation de la contraception n'est pas importante pour moi ou ma famille. 
 16-20: 50.0% 
 21-30: 47.79% 
 31-45: 51.79%

",16-20,"Femme Nyɔnu: 7.3% 
 Homme Sunnu: 4.09%","Femme Nyɔnu: 30 
 Homme Sunnu: 17","Femme Nyɔnu: 17.5 
 Homme Sunnu: 19.0","Femme Nyɔnu: 6.08% 
 Homme Sunnu: 1.44%","L'utilisation de la contraception n'est pas importante pour moi ou ma famille. 
 Femme Nyɔnu: 47.55% 
 Homme Sunnu: 52.5%

",Femme Nyɔnu,"Rural: 4.77% 
 Semi-urbain: 7.69% 
 Urbain: 4.65%","Rural: 25 
 Semi-urbain: 20 
 Urbain: 2","Rural: 19.1 
 Semi-urbain: 15.7 
 Urbain: 1.7","Rural: 2.48% 
 Semi-urbain: 6.54% 
 Urbain: 2.33%","L'utilisation de la contraception n'est pas importante pour moi ou ma famille. 
 Rural: 44.71% 
 Semi-urbain: 62.07% 
 Urbain: 36.84%

",Semi-urbain,"Mid-South: 9.57% 
 North-East: 5.03% 
 North-West: 2.0% 
 South-South: 4.4%","Mid-South: 20 
 North-East: 8 
 North-West: 1 
 South-South: 18","Mid-South: 11.5 
 North-East: 15.0 
 North-West: 3.3 
 South-South: 6.7","Mid-South: 9.57% 
 North-East: 2.52% 
 North-West: 0.0% 
 South-South: 1.71%","L'utilisation de la contraception n'est pas importante pour moi ou ma famille. 
 Mid-South: 67.72% 
 North-East: 52.78% 
 North-West: 41.86% 
 South-South: 39.35%

",Mid-South
Contre la religion : Dieu prendra bien soin de tous mes enfants/ Sinsɛn ɔ gbɛ́: Mawu na kpé nukún dó vǐ ce lɛ bǐ wu ganji,"future_user: 1.02% 
 nonuser: 1.66% 
 past_user: 0.0% 
 user: 3.68%","future_user: 1 
 nonuser: 5 
 past_user: 0 
 user: 11","future_user: 1.2 
 nonuser: 3.8 
 past_user: 0.0 
 user: 6.9","future_user: 0.0% 
 nonuser: 0.66% 
 past_user: 0.0% 
 user: 0.0%","Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu. 
 future_user: 89.25% 
 nonuser: 94.7% 
 past_user: 84.43% 
 user: 92.73%

",Low,barrier,"16-20: 3.45% 
 21-30: 2.12% 
 31-45: 1.92%","16-20: 1 
 21-30: 7 
 31-45: 9","16-20: 0.1 
 21-30: 6.3 
 31-45: 5.4","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.43%","Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu. 
 16-20: 96.3% 
 21-30: 91.08% 
 31-45: 91.93%

","16-20, 31-45","Femme Nyɔnu: 1.95% 
 Homme Sunnu: 2.16%","Femme Nyɔnu: 8 
 Homme Sunnu: 9","Femme Nyɔnu: 1.2 
 Homme Sunnu: 10.7","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 0.24%","Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu. 
 Femme Nyɔnu: 87.44% 
 Homme Sunnu: 95.97%

","Femme Nyɔnu, Homme Sunnu","Rural: 2.67% 
 Semi-urbain: 1.15% 
 Urbain: 0.0%","Rural: 14 
 Semi-urbain: 3 
 Urbain: 0","Rural: 11.3 
 Semi-urbain: 0.5 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu. 
 Rural: 95.42% 
 Semi-urbain: 84.68% 
 Urbain: 89.19%

","Rural, Semi-urbain","Mid-South: 0.0% 
 North-East: 1.89% 
 North-West: 8.0% 
 South-South: 2.44%","Mid-South: 0 
 North-East: 3 
 North-West: 4 
 South-South: 10","Mid-South: 0.0 
 North-East: 5.3 
 North-West: 4.6 
 South-South: 1.9","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.49%","Les familles peuvent planifier les besoins de leurs enfants tout en continuant à faire confiance à Dieu. 
 Mid-South: 79.7% 
 North-East: 95.97% 
 North-West: 97.87% 
 South-South: 95.43%

","North-West, South-South"
Contre la religion : certains modèles religieux n'utilisaient pas de contraception/ Sinsɛn: Sinsɛn ɖé lɛ nɔ zán nǔ e nɔ glɔ́n ali nú vǐjiji lɛ é ǎ,"future_user: 0.0% 
 nonuser: 2.65% 
 past_user: 0.78% 
 user: 4.35%","future_user: 0 
 nonuser: 8 
 past_user: 1 
 user: 13","future_user: 0.0 
 nonuser: 6.7 
 past_user: 2.2 
 user: 10.3","future_user: 0.0% 
 nonuser: 0.99% 
 past_user: 0.0% 
 user: 0.0%","Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception. 
 future_user: 33.33% 
 nonuser: 69.42% 
 past_user: 35.71% 
 user: 52.17%

",High,barrier,"16-20: 3.45% 
 21-30: 1.52% 
 31-45: 3.42%","16-20: 1 
 21-30: 5 
 31-45: 16","16-20: 2.2 
 21-30: 5.2 
 31-45: 11.9","16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.21%","Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception. 
 16-20: 72.73% 
 21-30: 66.67% 
 31-45: 45.4%

",21-30,"Femme Nyɔnu: 2.43% 
 Homme Sunnu: 2.88%","Femme Nyɔnu: 10 
 Homme Sunnu: 12","Femme Nyɔnu: 6.8 
 Homme Sunnu: 12.5","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.24%","Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception. 
 Femme Nyɔnu: 56.8% 
 Homme Sunnu: 53.55%

","Femme Nyɔnu, Homme Sunnu","Rural: 2.86% 
 Semi-urbain: 2.31% 
 Urbain: 2.33%","Rural: 15 
 Semi-urbain: 6 
 Urbain: 1","Rural: 16.4 
 Semi-urbain: 1.6 
 Urbain: 1.3","Rural: 0.19% 
 Semi-urbain: 0.38% 
 Urbain: 2.33%","Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception. 
 Rural: 59.22% 
 Semi-urbain: 49.57% 
 Urbain: 42.86%

",Urbain,"Mid-South: 0.0% 
 North-East: 1.89% 
 North-West: 14.0% 
 South-South: 2.93%","Mid-South: 0 
 North-East: 3 
 North-West: 7 
 South-South: 12","Mid-South: 0.0 
 North-East: 5.3 
 North-West: 9.3 
 South-South: 4.7","Mid-South: 0.0% 
 North-East: 0.63% 
 North-West: 0.0% 
 South-South: 0.49%","Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception. 
 Mid-South: 59.3% 
 North-East: 72.58% 
 North-West: 87.5% 
 South-South: 38.24%

","North-East, North-West, South-South"
Contre la religion : ma religion n'autorise pas l'espacement des naissances/ Sinsɛn ɔ gbɛ́: Sinsɛn ce nɔ yí gbè nú vǐjiji sín vogbingbɔn ǎ,"future_user: 1.02% 
 nonuser: 1.66% 
 past_user: 0.0% 
 user: 3.01%","future_user: 1 
 nonuser: 5 
 past_user: 0 
 user: 9","future_user: 0.4 
 nonuser: 5.1 
 past_user: 0.0 
 user: 5.4","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%","Ma religion autorise l'espacement des naissances grâce à des méthodes “modernes”. 
 future_user: 84.85% 
 nonuser: 57.97% 
 past_user: 73.68% 
 user: 82.43%

",Very high,barrier,"16-20: 3.45% 
 21-30: 2.42% 
 31-45: 1.28%","16-20: 1 
 21-30: 8 
 31-45: 6","16-20: 0.1 
 21-30: 6.1 
 31-45: 4.7","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%","Ma religion autorise l'espacement des naissances grâce à des méthodes “modernes”. 
 16-20: 64.71% 
 21-30: 69.55% 
 31-45: 75.07%

",16-20,"Femme Nyɔnu: 1.7% 
 Homme Sunnu: 1.92%","Femme Nyɔnu: 7 
 Homme Sunnu: 8","Femme Nyɔnu: 3.0 
 Homme Sunnu: 7.9","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%","Ma religion autorise l'espacement des naissances grâce à des méthodes “modernes”. 
 Femme Nyɔnu: 59.05% 
 Homme Sunnu: 81.56%

","Femme Nyɔnu, Homme Sunnu","Rural: 1.53% 
 Semi-urbain: 1.92% 
 Urbain: 4.65%","Rural: 8 
 Semi-urbain: 5 
 Urbain: 2","Rural: 7.1 
 Semi-urbain: 1.7 
 Urbain: 2.2","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Ma religion autorise l'espacement des naissances grâce à des méthodes “modernes”. 
 Rural: 70.38% 
 Semi-urbain: 78.7% 
 Urbain: 57.58%

",Urbain,"Mid-South: 0.0% 
 North-East: 2.52% 
 North-West: 6.0% 
 South-South: 1.96%","Mid-South: 0 
 North-East: 4 
 North-West: 3 
 South-South: 8","Mid-South: 0.0 
 North-East: 4.6 
 North-West: 3.5 
 South-South: 2.8","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%","Ma religion autorise l'espacement des naissances grâce à des méthodes “modernes”. 
 Mid-South: 77.91% 
 North-East: 68.8% 
 North-West: 47.5% 
 South-South: 75.19%

",North-West
Contre la religion : non spécifié/ Sinsɛn gbɛ́: È ma ɖɔ ǎ,"future_user: 0.0% 
 nonuser: 2.32% 
 past_user: 0.0% 
 user: 7.02%","future_user: 0 
 nonuser: 7 
 past_user: 0 
 user: 21","future_user: 0.0 
 nonuser: 10.7 
 past_user: 0.0 
 user: 17.5","future_user: 1.02% 
 nonuser: 0.66% 
 past_user: 0.0% 
 user: 0.0%","L'utilisation de contraceptifs va à l'encontre de ma foi. 
 future_user: 11.67% 
 nonuser: 44.95% 
 past_user: 22.45% 
 user: 22.58%

",Very high,barrier,"16-20: 6.9% 
 21-30: 2.73% 
 31-45: 3.63%","16-20: 2 
 21-30: 9 
 31-45: 17","16-20: 0.2 
 21-30: 12.6 
 31-45: 15.5","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.43%","L'utilisation de contraceptifs va à l'encontre de ma foi. 
 16-20: 33.33% 
 21-30: 33.33% 
 31-45: 27.2%

","16-20, 31-45","Femme Nyɔnu: 2.68% 
 Homme Sunnu: 4.09%","Femme Nyɔnu: 11 
 Homme Sunnu: 17","Femme Nyɔnu: 14.4 
 Homme Sunnu: 13.9","Femme Nyɔnu: 0.73% 
 Homme Sunnu: 0.0%","L'utilisation de contraceptifs va à l'encontre de ma foi. 
 Femme Nyɔnu: 36.32% 
 Homme Sunnu: 25.35%

",Femme Nyɔnu,"Rural: 4.2% 
 Semi-urbain: 2.31% 
 Urbain: 0.0%","Rural: 22 
 Semi-urbain: 6 
 Urbain: 0","Rural: 25.5 
 Semi-urbain: 2.7 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 1.15% 
 Urbain: 0.0%","L'utilisation de contraceptifs va à l'encontre de ma foi. 
 Rural: 32.86% 
 Semi-urbain: 24.17% 
 Urbain: 31.25%

","Rural, Semi-urbain","Mid-South: 0.48% 
 North-East: 0.63% 
 North-West: 20.0% 
 South-South: 3.91%","Mid-South: 1 
 North-East: 1 
 North-West: 10 
 South-South: 16","Mid-South: 0.1 
 North-East: 0.8 
 North-West: 20.2 
 South-South: 7.2","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.73%","L'utilisation de contraceptifs va à l'encontre de ma foi. 
 Mid-South: 22.29% 
 North-East: 41.22% 
 North-West: 60.0% 
 South-South: 23.77%

","North-West, South-South"
Contre la religion : seul Dieu décide de l'espacement des naissances/ Sinsɛn gbɛ́: Mawu kɛɖɛ wɛ nɔ wá gbeta ɔ kɔn dó jijimɛ sín tɛntin wu,"future_user: 1.02% 
 nonuser: 1.99% 
 past_user: 0.78% 
 user: 6.35%","future_user: 1 
 nonuser: 6 
 past_user: 1 
 user: 19","future_user: 0.8 
 nonuser: 9.5 
 past_user: 2.2 
 user: 10.8","future_user: 0.0% 
 nonuser: 0.66% 
 past_user: 0.0% 
 user: 0.0%","Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants. 
 future_user: 96.77% 
 nonuser: 98.57% 
 past_user: 92.56% 
 user: 97.93%

",Low,barrier,"16-20: 3.45% 
 21-30: 1.82% 
 31-45: 4.27%","16-20: 1 
 21-30: 6 
 31-45: 20","16-20: 2.2 
 21-30: 9.2 
 31-45: 11.9","16-20: 3.45% 
 21-30: 0.3% 
 31-45: 0.0%","Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants. 
 16-20: 96.3% 
 21-30: 96.83% 
 31-45: 97.51%

","16-20, 31-45","Femme Nyɔnu: 2.43% 
 Homme Sunnu: 4.09%","Femme Nyɔnu: 10 
 Homme Sunnu: 17","Femme Nyɔnu: 8.7 
 Homme Sunnu: 14.6","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 0.24%","Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants. 
 Femme Nyɔnu: 95.34% 
 Homme Sunnu: 98.99%

","Femme Nyɔnu, Homme Sunnu","Rural: 2.48% 
 Semi-urbain: 5.0% 
 Urbain: 2.33%","Rural: 13 
 Semi-urbain: 13 
 Urbain: 1","Rural: 17.7 
 Semi-urbain: 4.3 
 Urbain: 1.3","Rural: 0.38% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants. 
 Rural: 97.97% 
 Semi-urbain: 96.02% 
 Urbain: 95.12%

","Rural, Semi-urbain","Mid-South: 0.0% 
 North-East: 1.89% 
 North-West: 12.0% 
 South-South: 4.4%","Mid-South: 0 
 North-East: 3 
 North-West: 6 
 South-South: 18","Mid-South: 0.0 
 North-East: 5.8 
 North-West: 11.5 
 South-South: 6.0","Mid-South: 0.48% 
 North-East: 0.63% 
 North-West: 0.0% 
 South-South: 0.0%","Les couples peuvent décider eux-mêmes de l'espacement entre les naissances de leurs enfants. 
 Mid-South: 92.39% 
 North-East: 98.0% 
 North-West: 97.83% 
 South-South: 99.23%

","Mid-South, North-East, North-West"
Crainte d'une atteinte à l'intimité (parties intimes du corps)/ Xɛsi e è nɔ ɖi ɖɔ è na gbà nǔ mɛɖesunɔ tɔn lɛ é (agbaza sín wǔjɔnú lɛ),"future_user: 0.0% 
 nonuser: 0.66% 
 past_user: 0.0% 
 user: 0.67%","future_user: 0 
 nonuser: 2 
 past_user: 0 
 user: 2","future_user: 0.0 
 nonuser: 0.2 
 past_user: 0.0 
 user: 2.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%","Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent. 
 future_user: 95.18% 
 nonuser: 84.78% 
 past_user: 98.32% 
 user: 93.33%

",Low,barrier,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.43%","16-20: 0 
 21-30: 2 
 31-45: 2","16-20: 0.0 
 21-30: 1.5 
 31-45: 1.3","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%","Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent. 
 16-20: 91.67% 
 21-30: 90.94% 
 31-45: 92.12%

",21-30,"Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.96%","Femme Nyɔnu: 0 
 Homme Sunnu: 4","Femme Nyɔnu: 0.0 
 Homme Sunnu: 2.8","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%","Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent. 
 Femme Nyɔnu: 93.2% 
 Homme Sunnu: 90.11%

",Homme Sunnu,"Rural: 0.76% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Rural: 4 
 Semi-urbain: 0 
 Urbain: 0","Rural: 2.8 
 Semi-urbain: 0.0 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent. 
 Rural: 89.52% 
 Semi-urbain: 97.91% 
 Urbain: 76.92%

",Rural,"Mid-South: 0.48% 
 North-East: 0.0% 
 North-West: 4.0% 
 South-South: 0.24%","Mid-South: 1 
 North-East: 0 
 North-West: 2 
 South-South: 1","Mid-South: 0.0 
 North-East: 0.0 
 North-West: 2.6 
 South-South: 0.2","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.0%","Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent. 
 Mid-South: 95.65% 
 North-East: 78.4% 
 North-West: 74.36% 
 South-South: 95.93%

",North-West
Doutes quant à l'efficacité des contraceptifs/ Nǔxokpɔ́n dó lee nǔ e nɔ glɔ́n ali nú vǐjiji lɛ é nɔ w’azɔ̌ gbɔn é wu,"future_user: 2.04% 
 nonuser: 3.97% 
 past_user: 0.78% 
 user: 10.03%","future_user: 2 
 nonuser: 12 
 past_user: 1 
 user: 30","future_user: 0.2 
 nonuser: 3.3 
 past_user: 0.7 
 user: 18.0","future_user: 1.02% 
 nonuser: 0.99% 
 past_user: 0.78% 
 user: 0.0%","Les contraceptifs “modernes” sont fiables. 
 future_user: 82.98% 
 nonuser: 21.62% 
 past_user: 77.42% 
 user: 76.58%

",Very high,barrier,"16-20: 3.45% 
 21-30: 4.85% 
 31-45: 5.98%","16-20: 1 
 21-30: 16 
 31-45: 28","16-20: 0.4 
 21-30: 9.4 
 31-45: 12.3","16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.64%","Les contraceptifs “modernes” sont fiables. 
 16-20: 70.0% 
 21-30: 62.84% 
 31-45: 60.25%

","21-30, 31-45","Femme Nyɔnu: 3.89% 
 Homme Sunnu: 6.97%","Femme Nyɔnu: 16 
 Homme Sunnu: 29","Femme Nyɔnu: 4.1 
 Homme Sunnu: 18.0","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 0.96%","Les contraceptifs “modernes” sont fiables. 
 Femme Nyɔnu: 89.76% 
 Homme Sunnu: 42.3%

",Homme Sunnu,"Rural: 5.53% 
 Semi-urbain: 6.15% 
 Urbain: 0.0%","Rural: 29 
 Semi-urbain: 16 
 Urbain: 0","Rural: 17.7 
 Semi-urbain: 4.4 
 Urbain: 0.0","Rural: 0.57% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Les contraceptifs “modernes” sont fiables. 
 Rural: 66.55% 
 Semi-urbain: 54.12% 
 Urbain: 56.52%

",Semi-urbain,"Mid-South: 0.96% 
 North-East: 3.14% 
 North-West: 14.0% 
 South-South: 7.58%","Mid-South: 2 
 North-East: 5 
 North-West: 7 
 South-South: 31","Mid-South: 0.1 
 North-East: 4.3 
 North-West: 8.5 
 South-South: 9.2","Mid-South: 0.48% 
 North-East: 0.63% 
 North-West: 0.0% 
 South-South: 0.73%","Les contraceptifs “modernes” sont fiables. 
 Mid-South: 51.83% 
 North-East: 44.87% 
 North-West: 57.69% 
 South-South: 73.55%

","North-East, North-West, South-South"
Désir d'avoir des enfants : concurrence entre coépouses/ Jlǒ e è ɖó bo na jì vǐ é: agbahwlɛnhwlɛn ɖò asì hàtɔ́ lɛ tɛntin,"future_user: 0.0% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 2.01%","future_user: 0 
 nonuser: 1 
 past_user: 0 
 user: 6","future_user: 0.0 
 nonuser: 3.3 
 past_user: 0.0 
 user: 1.9","future_user: 0.0% 
 nonuser: 0.33% 
 past_user: 0.78% 
 user: 0.0%","Une femme n'a pas besoin d'avoir davantage d'enfants que ses coépouses pour gagner le respect. 
 future_user: 93.75% 
 nonuser: 89.04% 
 past_user: 89.68% 
 user: 91.58%

",Low,barrier,"16-20: 0.0% 
 21-30: 0.3% 
 31-45: 1.28%","16-20: 0 
 21-30: 1 
 31-45: 6","16-20: 0.0 
 21-30: 3.3 
 31-45: 1.9","16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.0%","Une femme n'a pas besoin d'avoir davantage d'enfants que ses coépouses pour gagner le respect. 
 16-20: 86.21% 
 21-30: 89.94% 
 31-45: 91.41%

","21-30, 31-45","Femme Nyɔnu: 1.46% 
 Homme Sunnu: 0.24%","Femme Nyɔnu: 6 
 Homme Sunnu: 1","Femme Nyɔnu: 4.1 
 Homme Sunnu: 1.1","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.0%","Une femme n'a pas besoin d'avoir davantage d'enfants que ses coépouses pour gagner le respect. 
 Femme Nyɔnu: 91.15% 
 Homme Sunnu: 90.1%

",Femme Nyɔnu,"Rural: 0.95% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Rural: 5 
 Semi-urbain: 2 
 Urbain: 0","Rural: 5.0 
 Semi-urbain: 0.2 
 Urbain: 0.0","Rural: 0.38% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Une femme n'a pas besoin d'avoir davantage d'enfants que ses coépouses pour gagner le respect. 
 Rural: 89.98% 
 Semi-urbain: 92.31% 
 Urbain: 88.1%

",Rural,"Mid-South: 0.48% 
 North-East: 0.0% 
 North-West: 4.0% 
 South-South: 0.98%","Mid-South: 1 
 North-East: 0 
 North-West: 2 
 South-South: 4","Mid-South: 0.0 
 North-East: 0.0 
 North-West: 4.5 
 South-South: 0.7","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 4.0% 
 South-South: 0.0%","Une femme n'a pas besoin d'avoir davantage d'enfants que ses coépouses pour gagner le respect. 
 Mid-South: 87.32% 
 North-East: 91.5% 
 North-West: 77.55% 
 South-South: 93.56%

",North-West
Désir d'avoir des enfants : considère les enfants comme une réussite/ Jlǒ e è ɖó bo na jì vǐ é: nɔ kpɔ́n vǐ lɛ dó mɔ nǔ e è ɖu ɖ’eji é ɖé,"future_user: 0.0% 
 nonuser: 0.99% 
 past_user: 0.0% 
 user: 3.68%","future_user: 0 
 nonuser: 3 
 past_user: 0 
 user: 11","future_user: 0.0 
 nonuser: 10.2 
 past_user: 0.0 
 user: 6.7","future_user: 0.0% 
 nonuser: 0.66% 
 past_user: 0.0% 
 user: 0.0%","Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie. 
 future_user: 79.79% 
 nonuser: 81.44% 
 past_user: 82.4% 
 user: 85.91%

",Low,barrier,"16-20: 0.0% 
 21-30: 2.12% 
 31-45: 1.5%","16-20: 0 
 21-30: 7 
 31-45: 7","16-20: 0.0 
 21-30: 13.3 
 31-45: 3.6","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.43%","Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie. 
 16-20: 62.07% 
 21-30: 84.52% 
 31-45: 83.3%

","21-30, 31-45","Femme Nyɔnu: 1.46% 
 Homme Sunnu: 1.92%","Femme Nyɔnu: 6 
 Homme Sunnu: 8","Femme Nyɔnu: 11.6 
 Homme Sunnu: 5.3","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.48%","Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie. 
 Femme Nyɔnu: 84.62% 
 Homme Sunnu: 81.41%

",Homme Sunnu,"Rural: 1.53% 
 Semi-urbain: 1.92% 
 Urbain: 2.33%","Rural: 8 
 Semi-urbain: 5 
 Urbain: 1","Rural: 12.9 
 Semi-urbain: 2.8 
 Urbain: 1.3","Rural: 0.0% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie. 
 Rural: 82.25% 
 Semi-urbain: 83.92% 
 Urbain: 87.18%

",Semi-urbain,"Mid-South: 0.48% 
 North-East: 1.26% 
 North-West: 8.0% 
 South-South: 1.71%","Mid-South: 1 
 North-East: 2 
 North-West: 4 
 South-South: 7","Mid-South: 0.0 
 North-East: 2.2 
 North-West: 11.1 
 South-South: 3.5","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.49%","Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie. 
 Mid-South: 83.5% 
 North-East: 83.45% 
 North-West: 75.51% 
 South-South: 83.54%

","North-West, South-South"
